# running a Genetic Program @ Wed Mar 26 21:54:02 2014
# initial depth: 3, iterations: 256, population size: 1024, tournament size: 3
# raw fitness - best (adjusted) fitness - average (adjusted) fitness - size of best - average size
102	4038.22	0.000307908	7.33015e-05	1583	1113
103	4038.22	0.000307909	8.032e-05	1583	1108
104	4032.99	0.000307646	7.84758e-05	1567	1098
105	3867.71	0.000307909	7.99298e-05	1242	1117
106	3867.71	0.000307909	7.60014e-05	1242	1093
107	3761.31	0.000305128	7.19847e-05	970	1093
108	3734.22	0.000307908	7.53286e-05	975	1092
109	3656.31	0.000305128	7.62588e-05	760	1118
110	3648.99	0.000289856	8.23353e-05	400	1125
111	3387.31	0.000344553	8.17634e-05	972	1132
112	3387.31	0.000344553	7.85507e-05	972	1167
113	3208.92	0.000367117	8.44596e-05	972	1175
114	3088.42	0.000367117	8.64814e-05	731	1201
115	3088.42	0.000367117	9.03072e-05	731	1152
116	3080.82	0.000378455	9.36787e-05	879	1116
117	2994.89	0.000402838	9.74738e-05	1027	1097
118	2935.08	0.000396262	9.77685e-05	825	1111
119	2757.72	0.000416367	0.00010235	714	1100
120	2757.72	0.000416367	0.0001055	714	1100
121	2745.7	0.000416372	0.000108234	690	1073
122	2689.28	0.000435203	0.000110603	785	1039
123	2689.28	0.000435203	0.000111536	785	994
124	2587.11	0.000441771	0.000113007	649	949
125	2587.11	0.000441771	0.000113644	649	941
126	2566.11	0.000441771	0.000119247	607	961
127	2527.02	0.000449333	0.000124944	605	941
128	2511.19	0.000452552	0.000113287	605	942
129	2511.19	0.000452552	0.000107786	605	946
130	2511.19	0.000452552	0.000106962	605	962
131	2480.03	0.000435345	0.000118175	368	942
132	2480.03	0.000435345	0.000125281	368	952
133	2474.03	0.000435345	0.000133713	356	973
134	2466.54	0.000434775	0.000140334	335	957
135	2405.24	0.000448584	0.000127118	354	935
136	2397.35	0.000450278	0.00013166	355	941
137	2397.35	0.000450278	0.000128169	355	940
138	2397.35	0.000450278	0.000133759	355	931
139	2380.45	0.000453732	0.000127368	355	920
140	2380.45	0.000453732	0.000132204	355	905
141	2380.45	0.000453732	0.000138316	355	884
142	2352.1	0.000453083	0.000145677	292	873
143	2352.1	0.000453083	0.000145792	292	848
144	2352.1	0.000453083	0.00014414	292	849
145	2352.1	0.000453083	0.000140905	292	883
146	2346.67	0.000452147	0.000139208	272	871
147	2346.67	0.000452147	0.000135483	272	852
148	2313.34	0.000461395	0.000146538	294	834
149	2311.34	0.000461395	0.000133489	290	816
150	2310.95	0.000461691	0.000122594	292	780
151	2310.95	0.000461691	0.000128856	292	812
152	2302.45	0.000467083	0.000127997	325	812
153	2302.45	0.000467083	0.00013231	325	829
154	2247.84	0.000560588	0.000131604	930	834
155	2242.84	0.000560588	0.000122486	920	814
156	2242.84	0.000560588	0.0001196	920	812
157	2242.84	0.000560588	0.000120386	920	791
158	2178.12	0.000510823	0.000121696	443	771
159	2178.12	0.000510823	0.00012568	443	773
160	2178.12	0.000510823	0.000135865	443	757
161	2178.12	0.000510823	0.000129424	443	761
162	2171.14	0.000583723	0.000140488	918	743
163	2123.64	0.000601452	0.000152705	924	721
